char1	char2	vol.ch
MrWoodhouse	Emma	1.1
Emma	MrWoodhouse	1.1
MrWoodhouse	MrKnightley	1.1
MrKnightley	MrWoodhouse	1.1
Emma	MrKnightley	1.1
MrKnightley	Emma	1.1
MrWoodhouse	x	1.2
MrWoodhouse	MrsBates	1.3
MrWoodhouse	MissBates	1.3
Harriet	Emma	1.4
Emma	Harriet	1.4
MrKnightley	MrsWeston	1.5
MrElton	Emma	1.6
Emma	Harriet	1.6
Harriet	Emma	1.6
Emma	MrElton	1.6
MrKnightley	Emma	1.6
MrElton	MrKnightley	1.6
MrWoodhouse	Emma	1.6
Emma	MrWoodhouse	1.6
MrElton	MrWoodhouse	1.6
Harriet	Emma	1.7
Emma	Harriet	1.7
MrWoodhouse	MrKnightley	1.8
MrKnightley	MrWoodhouse	1.8
MrKnightley	Emma	1.8
Emma	MrKnightley	1.8
MissNash	Harriet	1.8
MrWoodhouse	Emma	1.9
MrWoodhouse	Harriet	1.9
Emma	MrElton	1.9
MrElton	Emma	1.9
MrElton	Harriet	1.9
Emma	Harriet	1.9
Emma	MrWoodhouse	1.9
Harriet	MrWoodhouse	1.9
Emma	Harriet	1.1
Harriet	Emma	1.10
Emma	MrElton	1.10
Emma	Harriet	1.10
MrWoodhouse	Isabella	1.11
Isabella	MrWoodhouse	1.11
Emma	MrJKnightley	1.11
MrJKnightley	Emma	1.11
Emma	MrWoodhouse	1.11
MrJKnightley	MrWoodhouse	1.11
MrWoodhouse	MrJKnightley	1.11
Isabella	MrJKnightley	1.11
Emma	MrKnightley	1.12
MrKnightley	Emma	1.12
MrKnightley	MrJKnightley	1.12
MrJKnightley	MrKnightley	1.12
MrWoodhouse	Isabella	1.12
Isabella	MrWoodhouse	1.12
Emma	MrWoodhouse	1.12
Emma	Isabella	1.12
MrJKnightley	MrWoodhouse	1.12
Isabella	MrJKnightley	1.12
MrJKnightley	Isabella	1.12
Emma	MrJKnightley	1.12
MrKnightley	MrJKnightley	1.12
Emma	MrElton	1.13
Emma	MrJKnightley	1.13
MrElton	Emma	1.13
MrJKnightley	Emma	1.13
MrElton	MrJKnightley	1.13
MrJKnightley	MrElton	1.13
MrWeston	Emma	1.14
Emma	MrWeston	1.14
Emma	MrsWeston	1.14
MrsWeston	Emma	1.14
MrsWeston	Isabella	1.14
Isabella	MrsWeston	1.14
MrElton	Emma	1.15
MrElton	MrsWeston	1.15
MrJKnightley	MrWoodhouse	1.15
MrWoodhouse	Emma	1.15
Isabella	MrJKnightley	1.15
MrJKnightley	Isabella	1.15
MrKnightley	Emma	1.15
Emma	MrKnightley	1.15
MrWoodhouse	MrKnightley	1.15
MrWoodhouse	MrWeston	1.15
Emma	MrElton	1.15
MrElton	Emma	1.15
MrWoodhouse	MrKnightley	1.16
MrElton	MrWoodhouse	1.17
Frank	MrWeston	1.18
Emma	MrKnightley	1.18
MrKnightley	Emma	1.18
