char1	char2	act.sc
LEON	MESS	1.1
MESS	LEON	1.1
BEAT	MESS	1.1
HERO	LEON	1.1
LEON	BEAT	1.1
BEAT	LEON	1.1
MESS	BEAT	1.1
PEDRO	LEON	1.1
LEON	PEDRO	1.1
BEN	LEON	1.1
LEON	BEN	1.1
PEDRO	BEN	1.1
PEDRO	HERO	1.1
BEN	x	1.1
BEAT	BEN	1.1
BEN	BEAT	1.1
PEDRO	CLAUD	1.1
LEON	JOHN	1.1
JOHN	LEON	1.1
CLAUD	BEN	1.1
BEN	CLAUD	1.1
CLAUD	PEDRO	1.1
LEON	ANTON	1.2
ANTON	LEON	1.2
CONR	JOHN	1.3
JOHN	CONR	1.3
JOHN	BORA	1.3
BORA	JOHN	1.3
LEON	ANTON	2.1
ANTON	LEON	2.1
HERO	BEAT	2.1
BEAT	HERO	2.1
LEON	BEAT	2.1
BEAT	LEON	2.1
BEAT	ANTON	2.1
ANTON	HERO	2.1
LEON	HERO	2.1
PEDRO	HERO	2.1
HERO	PEDRO	2.1
BALTH	MARG	2.1
MARG	BALTH	2.1
URSU	ANTON	2.1
ANTON	URSU	2.1
BEAT	BEN	2.1
BEN	BEAT	2.1
JOHN	BORA	2.1
BORA	JOHN	2.1
JOHN	CLAUD	2.1
CLAUD	JOHN	2.1
BORA	CLAUD	2.1
CLAUD	x	2.1
BEN	CLAUD	2.1
CLAUD	BEN	2.1
PEDRO	BEN	2.1
BEN	PEDRO	2.1
PEDRO	BEAT	2.1
BEAT	PEDRO	2.1
PEDRO	CLAUD	2.1
CLAUD	PEDRO	2.1
LEON	CLAUD	2.1
BEAT	CLAUD	2.1
CLAUD	BEAT	2.1
CLAUD	HERO	2.1
BEAT	HERO	2.1
PEDRO	LEON	2.1
LEON	PEDRO	2.1
JOHN	BORA	2.2
BORA	JOHN	2.2
BEN	BOY	2.3
BOY	BEN	2.3
BEN	x	2.3
PEDRO	CLAUD	2.3
CLAUD	PEDRO	2.3
PEDRO	BALTH	2.3
BALTH	PEDRO	2.3
LEON	PEDRO	2.3
LEON	CLAUD	2.3
CLAUD	LEON	2.3
PEDRO	LEON	2.3
BEAT	BEN	2.3
HERO	MARG	3.1
MARG	HERO	3.1
HERO	URSU	3.1
URSU	HERO	3.1
BEAT	x	3.1
PEDRO	CLAUD	3.2
CLAUD	PEDRO	3.2
BEN	PEDRO	3.2
BEN	CLAUD	3.2
BEN	LEON	3.2
LEON	BEN	3.2
CLAUD	LEON	3.2
PEDRO	CLAUD	3.2
BEN	x	3.2
PEDRO	BEN	3.2
CLAUD	BEN	3.2
LEON	PEDRO	3.2
BEN	LEON	3.2
LEON	CLAUD	3.2
PEDRO	LEON	3.2
JOHN	PEDRO	3.2
PEDRO	JOHN	3.2
CLAUD	JOHN	3.2
JOHN	CLAUD	3.2
DOGB	VERG	3.3
VERG	DOGB	3.3
DOGB	WATCH	3.3
WATCH	DOGB	3.3
DOGB	SEAC	3.3
SEAC	DOGB	3.3
BORA	CONR	3.3
WATCH	x	3.3
CONR	BORA	3.3
CONR	WATCH	3.3
WATCH	CONR	3.3
HERO	URSU	3.4
URSU	HERO	3.4
HERO	MARG	3.4
MARG	HERO	3.4
HERO	BEAT	3.4
BEAT	HERO	3.4
MARG	BEAT	3.4
BEAT	MARG	3.4
LEON	DOGB	3.5
DOGB	LEON	3.5
VERG	LEON	3.5
DOGB	VERG	3.5
VERG	DOGB	3.5
LEON	VERG	3.5
LEON	FRIAR	4.1
FRIAR	CLAUD	4.1
CLAUD	FRIAR	4.1
FRIAR	HERO	4.1
HERO	FRIAR	4.1
CLAUD	HERO	4.1
HERO	CLAUD	4.1
FRIAR	LEON	4.1
CLAUD	x	4.1
BEN	x	4.1
CLAUD	LEON	4.1
LEON	CLAUD	4.1
PEDRO	CLAUD	4.1
CLAUD	PEDRO	4.1
LEON	PEDRO	4.1
PEDRO	LEON	4.1
JOHN	LEON	4.1
HERO	x	4.1
CLAUD	LEON	4.1
LEON	HERO	4.1
HERO	LEON	4.1
PEDRO	HERO	4.1
JOHN	PEDRO	4.1
LEON	x	4.1
BEAT	HERO	4.1
JOHN	CLAUD	4.1
BEN	BEAT	4.1
BEAT	BEN	4.1
FRIAR	BEAT	4.1
BEN	LEON	4.1
LEON	BEAT	4.1
FRIAR	BEN	4.1
BEN	FRIAR	4.1
DOGB	VERG	4.2
DOGB	SEXT	4.2
SEXT	DOGB	4.2
DOGB	SEXT	4.2
VERG	SEXT	4.2
DOGB	BORA	4.2
BORA	DOGB	4.2
DOGB	CONR	4.2
CONR	DOGB	4.2
WATCH	DOGB	4.2
SEXT	WATCH	4.2
WATCH	SEXT	4.2
CONR	VERG	4.2
ANTON	LEON	5.1
LEON	ANTON	5.1
PEDRO	LEON	5.1
PEDRO	ANTON	5.1
CLAUD	LEON	5.1
CLAUD	ANTON	5.1
LEON	PEDRO	5.1
LEON	CLAUD	5.1
ANTON	PEDRO	5.1
CLAUD	BEN	5.1
BEN	CLAUD	5.1
PEDRO	BEN	5.1
BEN	PEDRO	5.1
DOGB	BORA	5.1
DOGB	CONR	5.1
PEDRO	DOGB	5.1
DOGB	PEDRO	5.1
PEDRO	BORA	5.1
PEDRO	CONR	5.1
BORA	PEDRO	5.1
CLAUD	x	5.1
DOGB	VERG	5.1
VERG	DOGB	5.1
LEON	WATCH	5.1
BORA	LEON	5.1
LEON	BORA	5.1
DOGB	LEON	5.1
LEON	DOGB	5.1
LEON	WATCH	5.1
BEN	MARG	5.2
MARG	BEN	5.2
BEN	x	5.2
BEAT	BEN	5.2
BEN	BEAT	5.2
URSU	BEAT	5.2
CLAUD	LORD	5.3
CLAUD	x	5.3
